Label,url
0,file2.engineering.com
0,www.quericavida.com
0,ndsmcobserver.com
0,mx1.aclcargo.com
0,iliohoros.gr
0,wtoutiao.com
0,reports.internic.net
0,www.fansale.de
0,24hair.ru
0,81070.sa.siteapps.com
0,www.ufcg.edu.br
0,r7---sn-uxaxovg-5gor.googlevideo.com
0,img.ssww.com
0,a859.w5.akamai.net
0,www.videoland.nl
0,mailpec.libero.it
0,img--3-journaldesfemmes-com.cdn.ampproject.org
0,aviewfrommyseat.nl
0,wpc.3e77.edgecastcdn.net
0,www.whitneydonae.com
0,net-expire2.tccstatic.com
0,gattissimi.com
0,bzgint.com
0,cbru.br.ns.els-gms.att.net
0,hommages.ch
0,cbcmusic.ca
0,image.improvementscatalog-email.com
0,kanjunshi.cc
0,benefitnews.com
0,designtoscano.com
0,sconsentit910.cloudapp.net
0,lingojam.com
0,ow-sbc.freeconferencecall.com
0,mail.klzlk.com
0,www.domaintools7.com
0,scope.lefigaro.fr
0,webchat.promega.com
0,jivoxassets.s3.amazonaws.com
0,anxietytalk.com
0,r18---sn-c0q7ln7y.googlevideo.com
0,t.ztsrv.com
0,s2.cn.bing.net
0,www.nipic.com
0,app.purechat.com
0,m.radiojornal.ne10.uol.com.br
0,eiv.baidu.com
0,beadandbutton.com
0,www.wildelifecomic.com
0,link-server.opera.com
0,postfact.ru
0,z13.cnzz.com
0,pressroom.rtl.nl
0,radiosnet.com.ar
0,ns3.glipac.ch
0,healthfitness.com
0,ns-418.awsdns-52.com
0,wordpress.org.multi.uribl.com
0,newks.com
0,tunekast.com
0,exportingisgreat.gov.uk
0,s2131904642.t.eloqua.com
0,dns1.gatech.edu
0,easysex.com
0,wgrz.com.edgesuite.net
0,www.linkyoutube.com
0,csi.com
0,mesu-china.apple.com.akadns.net
0,email.tcsfairfax.myenotice.com
0,i4.birminghammail.co.uk
0,tlb-mi-www.teleborsa.it
0,rs.gwallet.com
0,www.bdlive.co.za
0,www.adfusion.com
0,www.vier.be
0,htd-pklein.htna.lcl
0,optimizely.com.edgekey.net
